Video Name,Frame Number,Point 1 X,Point 1 Y,Point 2 X,Point 2 Y
V,0,903,620,,
V,0,903,620,2452,422
V,0,903,620,2452,422
V,0,1289,882,,
V,0,903,620,2452,422
V,0,1289,882,2654,701
V,0,903,620,2452,422
V,0,1289,882,2654,701
V,0,1137,369,,
V,0,903,620,2452,422
V,0,1289,882,2654,701
V,0,1137,369,693,494
V,0,903,620,2452,422
V,0,1289,882,2654,701
V,0,1137,369,693,494
V,0,644,727,,
V,0,903,620,2452,422
V,0,1289,882,2654,701
V,0,1137,369,693,494
V,0,644,727,2291,628
V,0,903,620,2452,422
V,0,1289,882,2654,701
V,0,1137,369,693,494
V,0,644,727,2291,628
V,0,1445,812,,
V,0,903,620,2452,422
V,0,1289,882,2654,701
V,0,1137,369,693,494
V,0,644,727,2291,628
V,0,903,620,2452,422
V,0,1289,882,2654,701
V,0,1137,369,693,494
V,0,644,727,,
V,0,903,620,2452,422
V,0,1289,882,2654,701
V,0,1137,369,693,494
V,0,903,620,2452,422
V,0,1289,882,2654,701
V,0,1137,369,,
V,0,903,620,2452,422
V,0,1289,882,2654,701
V,0,903,620,2452,422
V,0,1289,882,,
V,0,903,620,2452,422
V,0,903,620,,
V,0,797,649,,
V,0,797,649,1139,497
V,0,797,649,1139,497
V,0,1211,652,,
V,0,797,649,1139,497
V,0,1211,652,2590,599
V,0,797,649,1139,497
V,0,1211,652,2590,599
V,0,1735,771,,
V,0,797,649,1139,497
V,0,1211,652,2590,599
V,0,1735,771,2590,736
V,0,797,649,1139,497
V,0,1211,652,2590,599
V,0,1735,771,2590,736
V,0,1603,844,,
V,0,797,649,1139,497
V,0,1211,652,2590,599
V,0,1735,771,2590,736
V,0,1603,844,2337,774
V,0,797,649,1139,497
V,0,1211,652,2590,599
V,0,1735,771,2590,736
V,0,1603,844,2337,774
V,0,1908,308,,
V,0,797,649,1139,497
V,0,1211,652,2590,599
V,0,1735,771,2590,736
V,0,1603,844,2337,774
V,0,1908,308,1540,264
V,0,797,649,1139,497
V,0,1211,652,2590,599
V,0,1735,771,2590,736
V,0,1603,844,2337,774
V,0,1908,308,1540,264
V,0,2000,241,,
V,0,797,649,1139,497
V,0,1211,652,2590,599
V,0,1735,771,2590,736
V,0,1603,844,2337,774
V,0,1908,308,1540,264
V,0,2000,241,2211,691
V,0,797,649,1139,497
V,0,1211,652,2590,599
V,0,1735,771,2590,736
V,0,1603,844,2337,774
V,0,1908,308,1540,264
V,0,2000,241,2211,691
V,0,906,359,,
V,0,797,649,1139,497
V,0,1211,652,2590,599
V,0,1735,771,2590,736
V,0,1603,844,2337,774
V,0,1908,308,1540,264
V,0,2000,241,2211,691
V,0,906,359,2150,447
V,0,797,649,1139,497
V,0,1211,652,2590,599
V,0,1735,771,2590,736
V,0,1603,844,2337,774
V,0,1908,308,1540,264
V,0,2000,241,2211,691
V,0,906,359,,
V,0,797,649,1139,497
V,0,1211,652,2590,599
V,0,1735,771,2590,736
V,0,1603,844,2337,774
V,0,1908,308,1540,264
V,0,2000,241,2211,691
V,0,797,649,1139,497
V,0,1211,652,2590,599
V,0,1735,771,2590,736
V,0,1603,844,2337,774
V,0,1908,308,1540,264
V,0,2000,241,,
V,0,797,649,1139,497
V,0,1211,652,2590,599
V,0,1735,771,2590,736
V,0,1603,844,2337,774
V,0,1908,308,1540,264
V,0,797,649,1139,497
V,0,1211,652,2590,599
V,0,1735,771,2590,736
V,0,1603,844,2337,774
V,0,1908,308,,
V,0,797,649,1139,497
V,0,1211,652,2590,599
V,0,1735,771,2590,736
V,0,1603,844,2337,774
V,0,797,649,1139,497
V,0,1211,652,2590,599
V,0,1735,771,2590,736
V,0,1603,844,,
V,0,797,649,1139,497
V,0,1211,652,2590,599
V,0,1735,771,2590,736
V,0,797,649,1139,497
V,0,1211,652,2590,599
V,0,1735,771,,
V,0,797,649,1139,497
V,0,1211,652,2590,599
V,0,797,649,1139,497
V,0,1211,652,,
V,0,797,649,1139,497
V,0,797,649,1139,497
V,0,1100,641,,
V,0,797,649,1139,497
V,0,1100,641,2136,541
V,0,797,649,1139,497
V,0,1100,641,2136,541
V,0,1628,544,,
V,0,797,649,1139,497
V,0,1100,641,2136,541
V,0,1628,544,3005,682
V,0,797,649,1139,497
V,0,1100,641,2136,541
V,0,1628,544,3005,682
V,0,1056,843,,
V,0,797,649,1139,497
V,0,1100,641,2136,541
V,0,1628,544,3005,682
V,0,1056,843,1157,797
V,0,797,649,1139,497
V,0,1100,641,2136,541
V,0,1628,544,3005,682
V,0,1056,843,1157,797
V,0,1515,789,,
V,0,797,649,1139,497
V,0,1100,641,2136,541
V,0,1628,544,3005,682
V,0,1056,843,1157,797
V,0,1515,789,1995,785
V,0,797,649,1139,497
V,0,1100,641,2136,541
V,0,1628,544,3005,682
V,0,1056,843,1157,797
V,0,1515,789,1995,785
V,0,1634,611,,
V,0,797,649,1139,497
V,0,1100,641,2136,541
V,0,1628,544,3005,682
V,0,1056,843,1157,797
V,0,1515,789,1995,785
V,0,1634,611,1954,611
V,0,797,649,1139,497
V,0,1100,641,2136,541
V,0,1628,544,3005,682
V,0,1056,843,1157,797
V,0,1515,789,1995,785
V,0,1634,611,1954,611
V,0,1824,634,,
V,0,797,649,1139,497
V,0,1100,641,2136,541
V,0,1628,544,3005,682
V,0,1056,843,1157,797
V,0,1515,789,1995,785
V,0,1634,611,1954,611
V,0,1824,634,1986,650
V,0,797,649,1139,497
V,0,1100,641,2136,541
V,0,1628,544,3005,682
V,0,1056,843,1157,797
V,0,1515,789,1995,785
V,0,1634,611,1954,611
V,0,1824,634,1986,650
V,0,1631,739,,
V,0,797,649,1139,497
V,0,1100,641,2136,541
V,0,1628,544,3005,682
V,0,1056,843,1157,797
V,0,1515,789,1995,785
V,0,1634,611,1954,611
V,0,1824,634,1986,650
V,0,1631,739,1899,754
V,0,797,649,1139,497
V,0,1100,641,2136,541
V,0,1628,544,3005,682
V,0,1056,843,1157,797
V,0,1515,789,1995,785
V,0,1634,611,1954,611
V,0,1824,634,1986,650
V,0,1631,739,1899,754
V,0,1839,929,,
V,0,797,649,1139,497
V,0,1100,641,2136,541
V,0,1628,544,3005,682
V,0,1056,843,1157,797
V,0,1515,789,1995,785
V,0,1634,611,1954,611
V,0,1824,634,1986,650
V,0,1631,739,1899,754
V,0,1839,929,2009,929
V,0,797,649,1139,497
V,0,1100,641,2136,541
V,0,1628,544,3005,682
V,0,1056,843,1157,797
V,0,1515,789,1995,785
V,0,1634,611,1954,611
V,0,1824,634,1986,650
V,0,1631,739,1899,754
V,0,1839,929,2009,929
V,0,1778,940,,
V,0,797,649,1139,497
V,0,1100,641,2136,541
V,0,1628,544,3005,682
V,0,1056,843,1157,797
V,0,1515,789,1995,785
V,0,1634,611,1954,611
V,0,1824,634,1986,650
V,0,1631,739,1899,754
V,0,1839,929,2009,929
V,0,1778,940,2023,886
V,0,797,649,1139,497
V,0,1100,641,2136,541
V,0,1628,544,3005,682
V,0,1056,843,1157,797
V,0,1515,789,1995,785
V,0,1634,611,1954,611
V,0,1824,634,1986,650
V,0,1631,739,1899,754
V,0,1839,929,2009,929
V,0,1778,940,,
V,0,797,649,1139,497
V,0,1100,641,2136,541
V,0,1628,544,3005,682
V,0,1056,843,1157,797
V,0,1515,789,1995,785
V,0,1634,611,1954,611
V,0,1824,634,1986,650
V,0,1631,739,1899,754
V,0,1839,929,2009,929
V,0,797,649,1139,497
V,0,1100,641,2136,541
V,0,1628,544,3005,682
V,0,1056,843,1157,797
V,0,1515,789,1995,785
V,0,1634,611,1954,611
V,0,1824,634,1986,650
V,0,1631,739,1899,754
V,0,1839,929,,
V,0,797,649,1139,497
V,0,1100,641,2136,541
V,0,1628,544,3005,682
V,0,1056,843,1157,797
V,0,1515,789,1995,785
V,0,1634,611,1954,611
V,0,1824,634,1986,650
V,0,1631,739,1899,754
V,0,797,649,1139,497
V,0,1100,641,2136,541
V,0,1628,544,3005,682
V,0,1056,843,1157,797
V,0,1515,789,1995,785
V,0,1634,611,1954,611
V,0,1824,634,1986,650
V,0,1631,739,,
V,0,797,649,1139,497
V,0,1100,641,2136,541
V,0,1628,544,3005,682
V,0,1056,843,1157,797
V,0,1515,789,1995,785
V,0,1634,611,1954,611
V,0,1824,634,1986,650
V,0,797,649,1139,497
V,0,1100,641,2136,541
V,0,1628,544,3005,682
V,0,1056,843,1157,797
V,0,1515,789,1995,785
V,0,1634,611,1954,611
V,0,1824,634,,
V,0,797,649,1139,497
V,0,1100,641,2136,541
V,0,1628,544,3005,682
V,0,1056,843,1157,797
V,0,1515,789,1995,785
V,0,1634,611,1954,611
V,0,797,649,1139,497
V,0,1100,641,2136,541
V,0,1628,544,3005,682
V,0,1056,843,1157,797
V,0,1515,789,1995,785
V,0,1634,611,,
V,0,797,649,1139,497
V,0,1100,641,2136,541
V,0,1628,544,3005,682
V,0,1056,843,1157,797
V,0,1515,789,1995,785
V,0,797,649,1139,497
V,0,1100,641,2136,541
V,0,1628,544,3005,682
V,0,1056,843,1157,797
V,0,1515,789,,
V,0,797,649,1139,497
V,0,1100,641,2136,541
V,0,1628,544,3005,682
V,0,1056,843,1157,797
V,0,797,649,1139,497
V,0,1100,641,2136,541
V,0,1628,544,3005,682
V,0,1056,843,1157,797
V,0,1241,956,,
V,0,797,649,1139,497
V,0,1100,641,2136,541
V,0,1628,544,3005,682
V,0,1056,843,1157,797
V,0,797,649,1139,497
V,0,1100,641,2136,541
V,0,1628,544,3005,682
V,0,1056,843,,
V,0,797,649,1139,497
V,0,1100,641,2136,541
V,0,1628,544,3005,682
V,0,1056,843,871,785
V,3,765,934,,
V,3,765,934,1074,836
V,3,765,934,1074,836
V,3,1325,558,,
V,3,765,934,1074,836
V,3,1325,558,935,558
V,3,765,934,1074,836
V,3,1325,558,935,558
V,3,626,622,,
V,3,765,934,1074,836
V,3,1325,558,935,558
V,3,626,622,444,720
V,3,765,934,1074,836
V,3,1325,558,935,558
V,3,626,622,444,720
V,3,978,716,,
V,3,765,934,1074,836
V,3,1325,558,935,558
V,3,626,622,444,720
V,3,978,716,1114,716
V,3,765,934,1074,836
V,3,1325,558,935,558
V,3,626,622,444,720
V,3,978,716,,
V,3,765,934,1074,836
V,3,1325,558,935,558
V,3,626,622,444,720
V,3,765,934,1074,836
V,3,1325,558,935,558
V,3,626,622,,
V,3,765,934,1074,836
V,3,1325,558,935,558
V,3,765,934,1074,836
V,3,1325,558,,
V,3,765,934,1074,836
V,3,765,934,,
V,3,765,934,1059,767
V,3,765,934,1059,767
V,3,1969,653,,
V,3,765,934,1059,767
V,3,1969,653,1729,805
V,3,765,934,1059,767
V,3,1969,653,1729,805
V,3,2047,827,,
V,3,765,934,1059,767
V,3,1969,653,1729,805
V,3,2047,827,1859,1054
V,3,765,934,1059,767
V,3,1969,653,1729,805
V,3,2047,827,1859,1054
V,3,1758,808,,
V,3,765,934,1059,767
V,3,1969,653,1729,805
V,3,2047,827,1859,1054
V,3,1758,808,1914,757
V,3,765,934,1059,767
V,3,1969,653,1729,805
V,3,2047,827,1859,1054
V,3,1758,808,1914,757
V,3,1977,751,,
V,3,765,934,1059,767
V,3,1969,653,1729,805
V,3,2047,827,1859,1054
V,3,1758,808,1914,757
V,3,1977,751,2113,672
